CustomerId,Surname,CreditScore,Geography,Gender,Age
15634602,Hargrave,619,France,Female,42
15647311,Hill,608,Spain,Female,41
15619304,Onio,502,France,Female,42
15701354,Boni,699,France,Female,39
15737888,Mitchell,850,Spain,Female,43
15574012,Chu,645,Spain,Male,44
15592531,Bartlett,822,France,Male,50
15656148,Obinna,376,Germany,Female,29
15792365,He,501,France,Male,44
15592389,H?,684,France,Male,27
15767821,Bearce,528,France,Male,31
15737173,Andrews,497,Spain,Male,24
15632264,Kay,476,France,Female,34
15691483,Chin,549,France,Female,25
15600882,Scott,635,Spain,Female,35
15643966,Goforth,616,Germany,Male,45
15737452,Romeo,653,Germany,Male,58
15788218,Henderson,549,Spain,Female,24
15661507,Muldrow,587,Spain,Male,45
15568982,Hao,726,France,Female,24
15577657,McDonald,732,France,Male,41
15597945,Dellucci,636,Spain,Female,32
15699309,Gerasimov,510,Spain,Female,38
15725737,Mosman,669,France,Male,46
15625047,Yen,846,France,Female,38
15738191,Maclean,577,France,Male,25
15736816,Young,756,Germany,Male,36
15700772,Nebechi,571,France,Male,44
15728693,McWilliams,574,Germany,Female,43
15656300,Lucciano,411,France,Male,29
15589475,Azikiwe,591,Spain,Female,39
15706552,Odinakachukwu,533,France,Male,36
15750181,Sanderson,553,Germany,Male,41
15659428,Maggard,520,Spain,Female,42
15732963,Clements,722,Spain,Female,29
15794171,Lombardo,475,France,Female,45
15788448,Watson,490,,Male,31
15729599,Lorenzo,804,Spain,Male,33
15717426,Armstrong,850,France,Male,36
15585768,Cameron,582,Germany,Male,41
15619360,Hsiao,472,Spain,Male,40
15738148,Clarke,465,France,Female,51
15687946,Osborne,556,France,Female,61
15755196,Lavine,834,France,Female,49
15684171,Bianchi,660,Spain,Female,61
15754849,Tyler,776,Germany,Female,32
15602280,Martin,829,Germany,Female,27
15771573,Okagbue,637,Germany,Female,39
15766205,Yin,550,Germany,Male,38
15771873,Buccho,776,Germany,Female,37
15616550,Chidiebele,698,Germany,Male,44
15768193,Trevisani,585,Germany,Male,36
15683553,O'Brien,788,France,Female,33
15702298,Parkhill,655,Germany,Male,41
15569590,Yoo,601,Germany,Male,42
15760861,Phillipps,619,France,Male,43
15630053,Tsao,656,France,Male,45
15647091,Endrizzi,725,Germany,Male,19
15623944,T'ien,511,Spain,Female,66
15804771,Velazquez,614,France,Male,51
15651280,Hunter,742,Germany,Male,35
15773469,Clark,687,Germany,Female,27
15702014,Jeffrey,555,Spain,Male,33
15751208,Pirozzi,684,Spain,Male,56
15592461,Jackson,603,,Male,26
15789484,Hammond,751,Germany,Female,36
15696061,Brownless,581,Germany,Female,34
15641582,Chibugo,735,Germany,Male,43
15638424,Glauert,661,Germany,Female,35
15755648,Pisano,675,France,Female,21
15703793,Konovalova,738,Germany,Male,58
15620344,McKee,813,France,Male,29
15812518,Palermo,657,Spain,Female,37
15779052,Ballard,604,Germany,Female,25
15770811,Wallace,519,France,Male,36
15780961,Cavenagh,735,France,Female,21
15614049,Hu,664,France,Male,55
15662085,Read,678,France,Female,32
15575185,Bushell,757,Spain,Male,33
15803136,Postle,416,Germany,Female,41
15706021,Buley,665,France,Female,34
15663706,Leonard,777,France,Female,32
15641732,Mills,543,France,Female,36
15701164,Onyeorulu,506,France,Female,34
15738751,Beit,493,France,Female,46
15805254,Ndukaku,652,Spain,Female,75
15762418,Gant,750,Spain,Male,22
15625759,Rowley,729,France,Male,30
15622897,Sharpe,646,France,Female,46
15767954,Osborne,635,Germany,Female,28
15757535,Heap,647,Spain,Female,44
15731511,Ritchie,808,France,Male,45
15809248,Cole,524,France,Female,36
15640635,Capon,769,France,Male,29
15676966,Capon,730,Spain,Male,42
15699461,Fiorentini,515,Spain,Male,35
15738721,Graham,773,Spain,Male,41
15693683,Yuille,814,Germany,Male,29
15604348,Allard,710,Spain,Male,22
15633059,Fanucci,413,France,Male,34
15808582,Fu,665,France,Female,40
15743192,Hung,623,France,Female,44
15580146,Hung,738,France,Male,31
15776605,Bradley,528,Spain,Male,36
15804919,Dunbabin,670,Spain,Female,65
